"","ID","municipio","estado","populacao_total","populacao_urbana","populacao_urbana_antendida_agua","indice_atendimento_urbano_esgoto"
"1",220005,"Acauã","PI",6933,926,903,NA
"2",220025,"Alagoinha do Piauí","PI",7501,2727,2659,NA
"3",220027,"Alegrete do Piauí","PI",4832,2660,2660,NA
"4",220045,"Alvorada do Gurguéia","PI",5278,1932,1922,NA
"5",220070,"Anísio de Abreu","PI",9597,4750,4631,NA
"6",220090,"Aroazes","PI",5763,3421,3335,NA
"7",220095,"Aroeiras do Itaim","PI",2460,240,NA,NA
"8",220105,"Assunção do Piauí","PI",7686,3460,3378,NA
"9",220110,"Avelino Lopes","PI",11433,6936,6763,NA
"10",220155,"Bela Vista do Piauí","PI",3919,1289,NA,NA
"11",220157,"Belém do Piauí","PI",3464,1691,1649,NA
"12",220170,"Bertolínia","PI",5402,3955,3856,NA
"13",220173,"Betânia do Piauí","PI",6097,1701,NA,NA
"14",220180,"Bocaina","PI",4436,1773,1729,NA
"15",220190,"Bom Jesus","PI",24327,18945,18471,NA
"16",220192,"Bonfim do Piauí","PI",5549,1682,1436,NA
"17",220198,"Brejo do Piauí","PI",3871,1434,1398,NA
"18",220202,"Buriti dos Montes","PI",8188,2486,2486,NA
"19",220207,"Cajazeiras do Piauí","PI",3471,1155,NA,NA
"20",220209,"Caldeirão Grande do Piauí","PI",5674,1663,NA,NA
"21",220210,"Campinas do Piauí","PI",5507,1840,1794,NA
"22",220211,"Campo Alegre do Fidalgo","PI",4911,1281,NA,NA
"23",220213,"Campo Grande do Piauí","PI",5801,1628,1587,6.14
"24",220225,"Canavieira","PI",3904,1730,1687,NA
"25",220230,"Canto do Buriti","PI",20700,11508,11220,NA
"26",220245,"Capitão Gervásio Oliveira","PI",4008,1201,1201,NA
"27",220250,"Caracol","PI",10641,4197,3109,NA
"28",220255,"Caridade do Piauí","PI",4994,1634,1593,NA
"29",220260,"Castelo do Piauí","PI",18160,11369,11085,NA
"30",220275,"Colônia do Gurguéia","PI",6314,5073,2357,NA
"31",220277,"Colônia do Piauí","PI",7527,2677,2610,NA
"32",220280,"Conceição do Canindé","PI",4536,2395,2335,NA
"33",220285,"Coronel José Dias","PI",4602,1511,1473,NA
"34",220310,"Cristino Castro","PI",10214,7432,7246,NA
"35",220320,"Curimatá","PI",11121,7321,7138,NA
"36",220323,"Currais","PI",4845,952,NA,NA
"37",220327,"Curral Novo do Piauí","PI",5086,1440,1404,NA
"38",220335,"Dirceu Arcoverde","PI",6862,2435,2374,NA
"39",220340,"Dom Expedito Lopes","PI",6756,3674,3582,NA
"40",220342,"Domingos Mourão","PI",4290,964,940,NA
"41",220345,"Dom Inocêncio","PI",9387,2049,NA,NA
"42",220360,"Eliseu Martins","PI",4807,3937,3839,NA
"43",220375,"Fartura do Piauí","PI",5199,1369,NA,NA
"44",220380,"Flores do Piauí","PI",4394,2000,1950,NA
