"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","IN071_AE...Economias.atingidas.por.paralisações..econ.paralis.","IN072_AE...Duração.média.das.paralisações..horas.paralis.","IN073_AE...Economias.atingidas.por.intermitências..econ.interrup.","IN074_AE...Duração.média.das.intermitências..horas.interrup.","IN075_AE...Incidência.das.análises.de.cloro.residual.fora.do.padrão..percentual.","IN076_AE...Incidência.das.análises.de.turbidez.fora.do.padrão..percentual.","IN077_AE...Duração.média.dos.reparos.de.extravasamentos.de.esgotos..horas.extrav.","IN079_AE...Índice.de.conformidade.da.quantidade.de.amostras...cloro.residual..percentual.","IN080_AE...Índice.de.conformidade.da.quantidade.de.amostras...turbidez..percentual.","IN082_AE...Extravasamentos.de.esgotos.por.extensão.de.rede..extrav.Km.","IN083_AE...Duração.média.dos.serviços.executados..hora.serviço.","IN084_AE...Incidência.das.análises.de.coliformes.totais.fora.do.padrão..percentual.","IN085_AE...Índice.de.conformidade.da.quantidade.de.amostras...coliformes.totais..percentual."
220005,"Acauã","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos",NA,NA,NA,NA,0,28.57,NA,5.83,5.83,NA,NA,57.14,5.83
220025,"Alagoinha do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0
220027,"Alegrete do Piauí","PI",2015,"[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI; [22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água; Res Sólidos",67,7.17,200,12,0,0,NA,100,100,NA,2.09,0,100
220045,"Alvorada do Gurguéia","PI",2015,"[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos",255,9.25,510,1,6.67,6.67,NA,100,100,NA,0.82,18,100
220070,"Anísio de Abreu","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,0,36.36,NA,27.5,27.5,NA,NA,3.03,27.5
220090,"Aroazes","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0
220095,"Aroeiras do Itaim","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220105,"Assunção do Piauí","PI",2015,"[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos",NA,1.84,NA,NA,100,100,NA,100,100,NA,4.5,100,100
220110,"Avelino Lopes","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22011040] PREFEITURA MUNICIPAL DE AVELINO LOPES - PMAL","Água; Res Sólidos",NA,NA,NA,NA,12.5,8.33,NA,20,20,NA,NA,4.17,20
220155,"Bela Vista do Piauí","PI",2015,"[22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Res Sólidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
