"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","IN001_AE...Densidade.de.economias.de.água.por.ligação..econ.lig.","IN009_AE...Índice.de.hidrometração..percentual.","IN010_AE...Índice.de.micromedição.relativo.ao.volume.disponibilizado..percentual.","IN011_AE...Índice.de.macromedição..percentual.","IN013_AE...Índice.de.perdas.faturamento..percentual.","IN014_AE...Consumo.micromedido.por.economia..m..mês.econ.","IN017_AE...Consumo.de.água.faturado.por.economia..m..mês.econ.","IN020_AE...Extensão.da.rede.de.água.por.ligação..m.lig.","IN022_AE...Consumo.médio.percapita.de.água..l.hab.dia.","IN023_AE...Índice.de.atendimento.urbano.de.água..percentual.","IN025_AE...Volume.de.água.disponibilizado.por.economia..m..mês.econ.","IN028_AE...Índice.de.faturamento.de.água..percentual.","IN043_AE...Participação.das.economias.residenciais.de.água.no.total.das.economias.de.água..percentual.","IN044_AE...Índice.de.micromedição.relativo.ao.consumo..percentual.","IN049_AE...Índice.de.perdas.na.distribuição..percentual.","IN050_AE...Índice.bruto.de.perdas.lineares..m..dia.Km.","IN051_AE...Índice.de.perdas.por.ligação..l.dia.lig.","IN052_AE...Índice.de.consumo.de.água..percentual.","IN053_AE...Consumo.médio.de.água.por.economia..m..mês.econ.","IN055_AE...Índice.de.atendimento.total.de.água..percentual.","IN057_AE...Índice.de.fluoretação.de.água..percentual.","IN058_AE...Índice.de.consumo.de.energia.elétrica.em.sistemas.de.abastecimento.de.água..kWh.m.."
220005,"Acauã","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos",1.02,99.28,52.82,0,15.37,6.7,10.7,6.8,101.8,97.5,13.2,84.63,89.11,86.8,39.15,20.26,165.84,60.85,7.7,22.54,0,0.26
220025,"Alagoinha do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos",1,81.04,21.34,0,28.26,3.9,10.5,3.6,97,97.5,14.6,71.74,96.64,40.05,46.73,50.19,225.97,53.27,7.8,44.21,0,1.03
220027,"Alegrete do Piauí","PI",2015,"[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI; [22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água; Res Sólidos",1.07,0,0,100,100,NA,0,35.5,40.2,100,4.5,0,85.49,0,0,0,0,100,4.5,100,0,1.15
220045,"Alvorada do Gurguéia","PI",2015,"[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos",1.04,0,0,100,15.56,NA,25,12.8,299.3,99.5,29.6,84.44,86.01,0,4,1.55,40.39,96,28.4,74.91,0,0.09
220070,"Anísio de Abreu","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1.01,99.81,23.38,0,27.73,3.6,11.1,5.8,101.2,97.5,15.4,72.27,94.41,41.19,43.24,27.7,220.65,56.76,8.7,63.42,0,1.35
220090,"Aroazes","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1.01,87.7,37.77,0,36.28,8.2,12.1,13,109.1,97.5,18.9,63.72,96.82,71.12,46.89,17.52,294.48,53.11,10.1,72.74,0,0.53
220095,"Aroeiras do Itaim","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220105,"Assunção do Piauí","PI",2015,"[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos",1.63,0,0,0,-0.01,NA,19.3,14.9,323.4,97.6,19.3,100.01,61.45,0,0,0,0,100,19.3,43.95,0,1.25
220110,"Avelino Lopes","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22011040] PREFEITURA MUNICIPAL DE AVELINO LOPES - PMAL","Água; Res Sólidos",1.01,33.03,8,0,41.83,4.8,11.5,6.1,107.5,97.5,20.7,58.17,96.7,15.45,48.19,40.78,316.42,51.81,10.3,68.86,0,0.46
220155,"Bela Vista do Piauí","PI",2015,"[22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Res Sólidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220157,"Belém do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1.01,87.41,57.65,0,12.92,7.3,9.7,15.7,77.3,97.5,11.6,87.08,93.38,95.15,39.4,8.13,145.56,60.6,6.8,62.01,0,0.19
220170,"Bertolínia","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1.01,90.4,46.04,0,36.36,10.9,13.5,13.7,127,97.5,21.3,63.64,95.02,82.81,44.4,17.87,315.08,55.6,11.8,88.93,0,1.03
220173,"Betânia do Piauí","PI",2015,"[22017340] Prefeitura Municipal de Betânia do Piaui - PM","Res Sólidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220180,"Bocaina","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1,85.04,31.68,0,34.4,6.6,11.6,10.2,121.8,97.5,17.7,65.6,96.04,59.02,46.33,23.79,270.32,53.67,9.5,53.09,0,0.67
220190,"Bom Jesus","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1.06,72.75,33.41,0,39.33,10.3,13.5,3.3,157.6,97.5,22.2,60.67,89.78,61.21,45.41,93.68,350.74,54.59,12.1,96.38,0,0.84
220192,"Bonfim do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1,99.19,52.25,0,28.3,8.6,11.6,9.5,89.7,85.4,17.2,71.7,95.26,93.78,44.28,17.04,236.34,55.72,9,25.88,0,1.37
220198,"Brejo do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22019840] Prefeitura Municipal de Brejo do Piauí - PMBP","Água; Res Sólidos",1.02,98.64,46.45,0,32.78,7.9,11.3,6.5,117.7,97.5,16.8,67.22,94.89,87.22,46.74,33.7,262.77,53.26,8.9,52.52,0,0.39
220202,"Buriti dos Montes","PI",2015,"[22020211] Prefeitura Municipal de Buriti dos Montes - PMBM; [22020240] Prefeitura Municipal de Buriti dos Montes - PMBM","Água; Res Sólidos",1,0,0,0,100,NA,0,35.9,549.9,100,71.2,0,76.41,0,14.16,8.97,331.12,85.84,61.1,68.37,0,NA
220207,"Cajazeiras do Piauí","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220209,"Caldeirão Grande do Piauí","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
