"ID","Município","Estado","Ano.de.Referência","Prestadores","Serviços","abastecimento","AG002...Quantidade.de.ligações.ativas.de.água..Ligações.","AG003...Quantidade.de.economias.ativas.de.água..Economias.","AG004...Quantidade.de.ligações.ativas.de.água.micromedidas..Ligações.","AG005...Extensão.da.rede.de.água..km.","AG006...Volume.de.água.produzido..1000.m..ano.","AG007...Volume.de.água.tratada.em.ETAs..1000.m..ano.","AG008...Volume.de.água.micromedido..1000.m..ano.","AG010...Volume.de.água.consumido..1000.m..ano.","AG011...Volume.de.água.faturado..1000.m..ano.","AG012...Volume.de.água.macromedido..1000.m..ano.","AG013...Quantidade.de.economias.residenciais.ativas.de.água..Economias.","AG014...Quantidade.de.economias.ativas.de.água.micromedidas..Economias.","AG015...Volume.de.água.tratada.por.simples.desinfecção..1000.m..ano.","AG017...Volume.de.água.bruta.exportado..1000.m..ano.","AG018...Volume.de.água.tratada.importado..1000.m..ano.","AG019...Volume.de.água.tratada.exportado..1000.m..ano.","AG020...Volume.micromedido.nas.economias.residenciais.ativas.de.água..1000.m..ano.","AG021...Quantidade.de.ligações.totais.de.água..Ligações.","AG022...Quantidade.de.economias.residenciais.ativas.de.água.micromedidas..Economias.","AG024...Volume.de.serviço..1000.m..ano.","AG026...População.urbana.atendida.com.abastecimento.de.água..Habitantes.","AG027...Volume.de.água.fluoretada..1000.m..ano.","AG028...Consumo.total.de.energia.elétrica.nos.sistemas.de.água..1000.kWh.ano."
220005,"Acauã","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos",1563,504,512,501,4.07,78.59,78.59,39.85,45.91,63.85,0,461,509,0,0,0,0,35.81,605,461,3.14,903,0,20.45
220025,"Alagoinha do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos",3316,1130,1134,900,5.07,198.73,0,42.4,105.86,142.57,0,1098,904,198.73,0,0,0,38.61,1453,872,0,2659,0,205.27
220027,"Alegrete do Piauí","PI",2015,"[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI; [22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água; Res Sólidos",4832,1250,1332,0,45,56.5,0,0,56.5,0,56.5,1100,0,0,56.5,0,0,0,1332,0,0,2660,0,65
220045,"Alvorada do Gurguéia","PI",2015,"[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos",3954,1231,1273,0,32.3,450,19,0,432,380,450,1098,0,431,0,0,0,0,2495,0,0,1922,0,42
220070,"Anísio de Abreu","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",6086,1876,1892,1875,14.82,346.51,0,81.01,196.67,250.41,0,1790,1891,346.51,0,0,0,75.84,2630,1789,0,4631,0,469.38
220090,"Aroazes","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",4192,1243,1254,1094,22.17,282.41,0,106.68,149.99,179.95,0,1215,1105,282.41,0,0,0,100.8,1603,1072,0,3335,0,149.92
220095,"Aroeiras do Itaim","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220105,"Assunção do Piauí","PI",2015,"[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos",3378,1060,1725,0,18,398.7,0,0,398.7,398.72,0,1060,0,0,0,0,0,0,1210,0,0,3378,0,500
220110,"Avelino Lopes","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22011040] PREFEITURA MUNICIPAL DE AVELINO LOPES - PMAL","Água; Res Sólidos",7873,2360,2382,770,17.93,578.37,578.37,44.31,286.85,322.07,0,2302,777,0,0,0,0,41.48,2997,753,24.73,6763,0,265.51
220155,"Bela Vista do Piauí","PI",2015,"[22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Res Sólidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220157,"Belém do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",2148,701,707,701,14.49,111.58,111.58,61.76,64.91,93.28,0,667,707,0,0,0,0,58.19,822,667,4.46,1649,0,21.16
220170,"Bertolínia","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",4804,1407,1426,1333,24.76,361.5,0,166.45,201.01,230.05,0,1357,1351,361.5,0,0,0,154.32,1810,1286,0,3856,0,371.68
220173,"Betânia do Piauí","PI",2015,"[22017340] Prefeitura Municipal de Betânia do Piaui - PM","Res Sólidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220180,"Bocaina","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",2355,799,799,675,9.04,169.43,0,53.67,90.94,111.14,0,767,675,169.43,0,0,0,46.99,898,646,0,1729,0,113.68
220190,"Bom Jesus","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",23447,7464,7946,5379,26.48,1993.79,0,666.17,1088.37,1209.68,0,7105,5720,1993.79,0,0,0,588.03,8447,5233,0,18471,0,1667.79
220192,"Bonfim do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1436,423,423,420,6,89.43,89.43,44.02,46.94,60.41,0,404,420,0,0,0,0,40.22,636,401,5.18,1436,0,122.18
220198,"Brejo do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22019840] Prefeitura Municipal de Brejo do Piauí - PMBP","Água; Res Sólidos",2033,679,691,671,6.71,136.04,0,63.19,72.45,91.45,0,658,683,136.04,0,0,0,58.61,825,651,0,1398,0,53.22
220202,"Buriti dos Montes","PI",2015,"[22020211] Prefeitura Municipal de Buriti dos Montes - PMBM; [22020240] Prefeitura Municipal de Buriti dos Montes - PMBM","Água; Res Sólidos",5598,1567,1567,0,58.43,1314,0,0,1128,0,0,1204,0,889,0,0,0,0,1618,0,0,2486,0,NA
220207,"Cajazeiras do Piauí","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220209,"Caldeirão Grande do Piauí","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220210,"Campinas do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",2259,761,761,759,8.17,165.12,0,78.68,85.33,106.62,0,715,759,165.12,0,0,0,70.8,944,714,0,1794,0,126.89
220211,"Campo Alegre do Fidalgo","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220213,"Campo Grande do Piauí","PI",2015,"[22021311] Prefeitura Municipal de Campo Grande do Piauí - PMCGP; [22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22021340] Prefeitura Municipal Campo Grande do Piauí - PM","Água e Esgoto; Água; Res Sólidos",2810,820,946,246,20.26,169.26,0,18.32,91.79,101.34,0,802,253,109.26,0,0,0,15.37,1184,217,0,1587,0,16.42
220225,"Canavieira","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",2064,598,601,469,8.31,137.1,0,60.47,85.47,93.23,0,575,472,137.1,0,0,0,56.64,914,449,0,1687,0,94.39
220230,"Canto do Buriti","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22023040] PREFEITURA MUNICIPAL DE CANTO DO BURITI - PI","Água; Res Sólidos",13866,4531,4569,4484,36.15,1147.07,0,404.67,600.45,709.83,0,4189,4522,1147.07,0,0,0,366.93,5429,4151,0,11220,0,505.56
220245,"Capitão Gervásio Oliveira","PI",2015,"[22024511] Prefeitura Municipal de Capitão Gervásio Oliveira - PMCGO; [22024540] PREFEITURA MUNICIPAL DE CAPITAO GERVASIO OLIVEIRA - PMCGO","Água; Res Sólidos",1201,500,500,0,15,135.9,0,0,120.9,0,0,450,0,135.9,0,0,0,0,790,0,15,1201,135.9,30
220250,"Caracol","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",3109,855,870,783,15.41,193.18,0,29.59,99.16,121.09,0,811,797,193.18,0,0,0,27.91,1450,746,0,3109,0,194
220255,"Caridade do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",2127,584,585,499,7.85,105.55,0,46.31,60.52,78.28,0,554,500,105.55,0,0,0,43.31,782,481,0,1593,0,276.46
220260,"Castelo do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22026040] PREFEITURA MUNICIPAL DE CASTELO DO PIAUI - PMC","Água; Res Sólidos",13278,4006,4084,3980,29.17,902.82,0,423.24,463.4,573.94,902.82,3860,4058,902.82,0,0,0,404.96,4835,3838,0,11085,0,377.84
220275,"Colônia do Gurguéia","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",2357,692,693,450,18.26,171.71,0,38.29,90.45,103.54,0,662,451,171.71,0,0,0,35.21,1725,438,0,2357,0,246.67
220277,"Colônia do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",3348,1001,1003,996,14.04,235.89,0,119.62,125.52,151.12,138.32,951,997,235.89,0,0,0,112.75,1330,951,0,2610,0,81.36
220280,"Conceição do Canindé","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22028040] SECRETARIA DE OBRAS SANEAMENTO E ABASTECIMENTO - SOSA","Água; Res Sólidos",3245,991,991,872,15.57,248.26,0,98.75,127.7,148.49,0,960,872,248.26,0,0,0,94.95,1180,843,0,2335,0,232.67
220285,"Coronel José Dias","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",2460,751,756,750,6,163.01,163.01,83.75,84.98,110.25,163.01,713,755,0,0,0,0,76.14,1006,712,8.53,1473,0,241.54
