"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","FN001...Receita.operacional.direta.total..R..ano.","FN002...Receita.operacional.direta.de.água..R..ano.","FN003...Receita.operacional.direta.de.esgoto..R..ano.","FN004...Receita.operacional.indireta..R..ano.","FN005...Receita.operacional.total..direta...indireta...R..ano.","FN006...Arrecadação.total..R..ano.","FN007...Receita.operacional.direta.de.água.exportada..bruta.ou.tratada...R..ano.","FN008...Créditos.de.contas.a.receber..R..ano.","FN010...Despesa.com.pessoal.próprio..R..ano.","FN011...Despesa.com.produtos.químicos..R..ano.","FN013...Despesa.com.energia.elétrica..R..ano.","FN014...Despesa.com.serviços.de.terceiros..R..ano.","FN015...Despesas.de.Exploração..DEX...R..ano.","FN016...Despesas.com.juros.e.encargos.do.serviço.da.dívida..R..ano.","FN017...Despesas.totais.com.os.serviços..DTS...R..ano.","FN018...Despesas.capitalizáveis.realizadas.pelo.prestador.de.serviços..R..ano.","FN019...Despesas.com.depreciação..amortização.do.ativo.diferido.e.provisão.para.devedores.duvidosos..R..ano.","FN020...Despesa.com.água.importada..bruta.ou.tratada...R..ano.","FN021...Despesas.fiscais.ou.tributárias.computadas.na.DEX..R..ano.","FN022...Despesas.fiscais.ou.tributárias.não.computadas.na.DEX..R..ano.","FN023...Investimento.realizado.em.abastecimento.de.água.pelo.prestador.de.serviços..R..ano.","FN024...Investimento.realizado.em.esgotamento.sanitário.pelo.prestador.de.serviços..R..ano.","FN025...Outros.investimentos.realizados.pelo.prestador.de.serviços..R..ano.","FN026...Quantidade.total.de.empregados.próprios..Empregados.","FN027...Outras.despesas.de.exploração..R..ano.","FN028...Outras.despesas.com.os.serviços..R..ano.","FN030...Investimento.com.recursos.próprios.realizado.pelo.prestador.de.serviços..R..ano.","FN031...Investimento.com.recursos.onerosos.realizado.pelo.prestador.de.serviços..R..ano.","FN032...Investimento.com.recursos.não.onerosos.realizado.pelo.prestador.de.serviços..R..ano.","FN033...Investimentos.totais.realizados.pelo.prestador.de.serviços..R..ano.","FN034...Despesas.com.amortizações.do.serviço.da.dívida..R..ano.","FN035...Despesas.com.juros.e.encargos.do.serviço.da.dívida..exceto.variações.monetária.e.cambial..R..ano.","FN036...Despesa.com.variações.monetárias.e.cambiais.das.dívidas..R..ano.","FN037...Despesas.totais.com.o.serviço.da.dívida..R..ano.","FN038...Receita.operacional.direta...esgoto.bruto.importado..R..ano.","FN039...Despesa.com.esgoto.exportado..R..ano.","FN041...Despesas.capitalizáveis.realizadas.pelo.s..município.s...R..ano.","FN042...Investimento.realizado.em.abastecimento.de.água.pelo.s..município.s...R..ano.","FN043...Investimento.realizado.em.esgotamento.sanitário.pelo.s..município.s...R..ano.","FN044...Outros.investimentos.realizados.pelo.s..município.s...R..ano.","FN045...Investimento.com.recursos.próprios.realizado.pelo.s..município.s...R..ano.","FN046...Investimento.com.recursos.onerosos.realizado.pelo.s..município.s...R..ano.","FN047...Investimento.com.recursos.não.onerosos.realizado.pelo.s..município.s...R..ano.","FN048...Investimentos.totais.realizados.pelo.s..município.s...R..ano.","FN051...Despesas.capitalizáveis.realizadas.pelo.estado..R..ano.","FN052...Investimento.realizado.em.abastecimento.de.água.pelo.estado..R..ano.","FN053...Investimento.realizado.em.esgotamento.sanitário.pelo.estado..R..ano.","FN054...Outros.investimentos.realizados.pelo.estado..R..ano.","FN055...Investimento.com.recursos.próprios.realizado.pelo.estado..R..ano.","FN056...Investimento.com.recursos.onerosos.realizado.pelo.estado..R..ano.","FN057...Investimento.com.recursos.não.onerosos.realizado.pelo.estado..R..ano.","FN058...Investimentos.totais.realizados.pelo.estado..R..ano."
220005,"Acauã","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos",174633.08,174633.08,NA,5335.5,179968.58,183286.04,0,23313.08,78194.14,835.93,11937.72,94057.13,196066.82,0,246487.5,0,3648.51,0,11041.9,46772.17,12250,0,0,1,0,0,12250,0,0,12250,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
220025,"Alagoinha do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos",328775.88,328775.88,NA,23358.5,352134.38,355283.35,0,136818.3,125505.6,835.93,99728.83,25240.09,272894.96,0,377920.66,0,13509.24,0,21584.51,91516.46,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
220027,"Alegrete do Piauí","PI",2015,"[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI; [22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água; Res Sólidos",0,0,NA,0,0,0,0,0,99288,0,63087.45,0,162375.45,0,162375.45,NA,0,0,0,0,NA,NA,NA,7,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,0,15000,0,0,15000,0,0,15000,NA,NA,NA,NA,NA,NA,NA,NA
220045,"Alvorada do Gurguéia","PI",2015,"[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos",217000,217000,NA,11700,228700,198000,0,101000,131000,5400,26300,2800,216000,0,217430,NA,0,0,1800,1430,NA,NA,NA,5,48700,0,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220070,"Anísio de Abreu","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",574588.84,574588.84,NA,26235.61,600824.45,550990.05,0,440075.47,139609.34,81397.34,235874.42,259545.99,753213.81,0,942537.17,0,33174.65,0,36786.72,156148.71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
220090,"Aroazes","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",470404.76,470404.76,NA,32999.28,503404.04,510138.67,0,247430.18,130236.59,835.93,87606.88,120867.85,370410.93,0,520168.26,0,18927.28,0,30863.68,130830.05,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
220095,"Aroeiras do Itaim","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220105,"Assunção do Piauí","PI",2015,"[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos",124508,124508,NA,0,124508,63968,0,60540,42254,2000,125287,10000,179541,0,179541,NA,0,0,0,0,NA,NA,NA,2,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,0,7e+05,0,0,NA,0,0,7e+05,0,0,0,0,0,0,0,0
220110,"Avelino Lopes","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22011040] PREFEITURA MUNICIPAL DE AVELINO LOPES - PMAL","Água; Res Sólidos",828823.08,828823.08,NA,32974.44,861797.52,831337.56,0,592531.61,592715.91,177432.19,117689.88,28171.1,969148.26,0,1215435.9,0,22314.45,0,53139.18,223973.19,0,0,0,6,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
220155,"Bela Vista do Piauí","PI",2015,"[22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Res Sólidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
