"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","OS001...Execução.de.lavação.de.vias.e.praças.pelo.agente.público..Sim.Não.","OS003...Execução.de.limpeza.de.feiras.livres.ou.mercados.pelo.agente.público..Sim.Não.","OS004...Execução.de.limpeza.de.praias.pelo.agente.público..Sim.Não.","OS005...Execução.de.limpeza.de.bocas.de.lobo.pelo.agente.público..Sim.Não.","OS006...Execução.de.pintura.de.meios.fios.pelo.agente.público..Sim.Não.","OS007...Execução.de.limpeza.de.lotes.vagos.pelo.agente.público..Sim.Não.","OS008...Execução.de.remoção.de.animais.mortos.de.vias.publicas.pelo.agente.público..Sim.Não.","OS009...Execução.de.coleta.diferenciada.de.pneus.velhos.pelo.agente.público..Sim.Não.","OS010...Execução.de.diferenciada.de.pilhas.e.baterias.pelo.agente.público..Sim.Não.","OS011...Execução.de.coleta.de.resíduos.volumosos.inservíveis.de.pelo.agente.público..Sim.Não.","OS012...Execução.de.lavação.de.vias.e.praças.por.empresas.contratadas..Sim.Não.","OS014...Execução.de.limpeza.de.feiras.livres.ou.mercados.por.empresas.contratadas..Sim.Não.","OS015...Execução.de.limpeza.de.praias.por.empresas.contratadas..Sim.Não.","OS016...Execução.de.limpeza.de.bocas.de.lobo.por.empresas.contratadas..Sim.Não.","OS017...Execução.de.pintura.de.meios.fios.por.empresas.contratadas..Sim.Não.","OS018...Execução.de.limpeza.de.lotes.vagos.por.empresas.contratadas..Sim.Não.","OS019...Execução.de.remoção.de.animais.mortos.de.vias.públicas.por.empresas.contratadas..Sim.Não.","OS020...Execução.de.coleta.diferenciada.de.pneus.velhos.por.empresas.contratadas..Sim.Não.","OS021...Execução.de.coleta.diferenciada.de.pilhas.e.baterias.por.empresas.contratadas..Sim.Não.","OS022...Execução.de.coleta.de.resíduos.volumosos.inservíveis.por.empresas.contratadas..Sim.Não.","OS023...Execução.de.lavação.de.vias.e.praças.por.outros.agentes.diferentes.dos.citados..Sim.Não.","OS025...Execução.de.limpeza.de.feiras.livres.ou.mercados.por.outros.agentes.diferentes.dos.citados..Sim.Não.","OS026...Execução.de.limpeza.de.praias.por.outros.agentes.diferentes.dos.citados..Sim.Não.","OS027...Execução.de.limpeza.de.bocas.de.lobo.por.outros.agentes.diferentes.dos.citados..Sim.Não.","OS028...Execução.de.pintura.de.meios.fios.por.outros.agentes.diferentes.dos.citados..Sim.Não.","OS029...Execução.de.limpeza.de.lotes.vagos.por.outros.agentes.diferentes.dos.citados..Sim.Não.","OS030...Execução.de.remoção.de.animais.mortos.de.vias.públicas.por.outros.agentes.diferentes.dos.citados..Sim.Não.","OS031...Execução.de.coleta.diferenciada.de.pneus.velhos.por.outros.agentes.diferentes.dos.citados..Sim.Não.","OS032...Execução.de.coleta.diferenciada.de.pilhas.e.baterias.por.outros.agentes.diferentes.dos.citados..Sim.Não.","OS033...Execução.de.coleta.de.resíduos.volumosos.inservíveis.por.outros.agentes.diferentes.dos.citados..Sim.Não.","OS040...Execução.de.poda.de.árvores.pelo.agente.público..Sim.Não.","OS041...Execução.de.poda.de.árvores.por.empresas.contratadas..Sim.Não.","OS042...Execução.de.poda.de.árvores.por.outros.agentes.diferentes.dos.citados..Sim.Não.","OS043...Execução.de.outros.serviços.diferentes.dos.citados.pelo.agente.público..Sim.Não.","OS044...Execução.de.outros.serviços.diferentes.dos.citados.por.empresas.contratadas..Sim.Não.","OS045...Execução.de.outros.serviços.diferentes.dos.citados.por.outros.agentes..Sim.Não.","OS046...Outros.executores.especificar.","OS047...Execução.de.coleta.diferenciada.de.lâmpadas.fluorescentes.pelo.agente.público..Sim.Não.","OS048...Execução.de.coleta.diferenciada.de.lâmpadas.fluorescentes.por.empresas.contratadas..Sim.Não.","OS049...Execução.de.coleta.diferenciada.de.lâmpadas.fluorescentes.por.outros.agentes.diferentes.dos.citados..Sim.Não.","OS050...Execução.de.coleta.diferenciada.de.resíduos.eletrônicos.pelo.agente.público..Sim.Não.","OS051...Execução.de.coleta.diferenciada.de.resíduos.eletrônicos.por.empresas.contratadas..Sim.Não.","OS052...Execução.de.coleta.diferenciada.de.resíduos.eletrônicos.por.outros.agentes.diferentes.dos.citados..Sim.Não.","OS053...Outros..especificar...Sim.Não."
220005,"Acauã","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","Sim","Sim","Não","","Sim","","Sim","Não","Não","","","","","","","","","","","","","","","","","","","","","","Sim","","","","","","","Não","","","Não","","",""
220025,"Alagoinha do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
220027,"Alegrete do Piauí","PI",2015,"[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI; [22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água; Res Sólidos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
220045,"Alvorada do Gurguéia","PI",2015,"[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
220070,"Anísio de Abreu","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
220090,"Aroazes","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
220095,"Aroeiras do Itaim","PI",2015,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
220105,"Assunção do Piauí","PI",2015,"[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
220110,"Avelino Lopes","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22011040] PREFEITURA MUNICIPAL DE AVELINO LOPES - PMAL","Água; Res Sólidos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
220155,"Bela Vista do Piauí","PI",2015,"[22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Res Sólidos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
220157,"Belém do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
220170,"Bertolínia","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
220173,"Betânia do Piauí","PI",2015,"[22017340] Prefeitura Municipal de Betânia do Piaui - PM","Res Sólidos","","","","","Sim","","Sim","Não","Não","Não","Não","Não","Não","Não","","","","","","","","","","","","Sim","","","","","Sim","Não","","","","","","Não","","","Não","","",""
220180,"Bocaina","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
220190,"Bom Jesus","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
220192,"Bonfim do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
220198,"Brejo do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22019840] Prefeitura Municipal de Brejo do Piauí - PMBP","Água; Res Sólidos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
